,Country_Region,Date,ConfirmedCases,Deaths,Recovered
0,Brazil,2020-01-22,0,0,0
1,Brazil,2020-01-23,0,0,0
2,Brazil,2020-01-24,0,0,0
3,Brazil,2020-01-25,0,0,0
4,Brazil,2020-01-26,0,0,0
5,Brazil,2020-01-27,0,0,0
6,Brazil,2020-01-28,0,0,0
7,Brazil,2020-01-29,0,0,0
8,Brazil,2020-01-30,0,0,0
9,Brazil,2020-01-31,0,0,0
10,Brazil,2020-02-01,0,0,0
11,Brazil,2020-02-02,0,0,0
12,Brazil,2020-02-03,0,0,0
13,Brazil,2020-02-04,0,0,0
14,Brazil,2020-02-05,0,0,0
15,Brazil,2020-02-06,0,0,0
16,Brazil,2020-02-07,0,0,0
17,Brazil,2020-02-08,0,0,0
18,Brazil,2020-02-09,0,0,0
19,Brazil,2020-02-10,0,0,0
20,Brazil,2020-02-11,0,0,0
21,Brazil,2020-02-12,0,0,0
22,Brazil,2020-02-13,0,0,0
23,Brazil,2020-02-14,0,0,0
24,Brazil,2020-02-15,0,0,0
25,Brazil,2020-02-16,0,0,0
26,Brazil,2020-02-17,0,0,0
27,Brazil,2020-02-18,0,0,0
28,Brazil,2020-02-19,0,0,0
29,Brazil,2020-02-20,0,0,0
30,Brazil,2020-02-21,0,0,0
31,Brazil,2020-02-22,0,0,0
32,Brazil,2020-02-23,0,0,0
33,Brazil,2020-02-24,0,0,0
34,Brazil,2020-02-25,0,0,0
35,Brazil,2020-02-26,1,0,0
36,Brazil,2020-02-27,1,0,0
37,Brazil,2020-02-28,1,0,0
38,Brazil,2020-02-29,2,0,0
39,Brazil,2020-03-01,2,0,0
40,Brazil,2020-03-02,2,0,0
41,Brazil,2020-03-03,2,0,0
42,Brazil,2020-03-04,4,0,0
43,Brazil,2020-03-05,4,0,0
44,Brazil,2020-03-06,13,0,0
45,Brazil,2020-03-07,13,0,0
46,Brazil,2020-03-08,20,0,0
47,Brazil,2020-03-09,25,0,0
48,Brazil,2020-03-10,31,0,0
49,Brazil,2020-03-11,38,0,0
50,Brazil,2020-03-12,52,0,0
51,Brazil,2020-03-13,151,0,0
52,Brazil,2020-03-14,151,0,0
53,Brazil,2020-03-15,162,0,0
54,Brazil,2020-03-16,200,0,1
55,Brazil,2020-03-17,321,1,2
56,Brazil,2020-03-18,372,3,2
57,Brazil,2020-03-19,621,6,2
58,Brazil,2020-03-20,793,11,2
59,Brazil,2020-03-21,1021,15,2
60,Brazil,2020-03-22,1546,25,2
61,Brazil,2020-03-23,1924,34,2
62,Brazil,2020-03-24,2247,46,2
63,Brazil,2020-03-25,2554,59,2
64,Brazil,2020-03-26,2985,77,6
65,Brazil,2020-03-27,3417,92,6
66,Brazil,2020-03-28,3904,111,6
67,Brazil,2020-03-29,4256,136,6
68,Brazil,2020-03-30,4579,159,120
69,Brazil,2020-03-31,5717,201,127
70,Brazil,2020-04-01,6836,240,127
71,Brazil,2020-04-02,8044,324,127
72,Brazil,2020-04-03,9056,359,127
73,Brazil,2020-04-04,10360,445,127
74,Brazil,2020-04-05,11130,486,127
75,Brazil,2020-04-06,12161,564,127
76,Brazil,2020-04-07,14034,686,127
77,Brazil,2020-04-08,16170,819,127
78,Brazil,2020-04-09,18092,950,173
79,Brazil,2020-04-10,19638,1057,173
80,Brazil,2020-04-11,20727,1124,173
81,Brazil,2020-04-12,22192,1223,173
82,Brazil,2020-04-13,23430,1328,173
83,Brazil,2020-04-14,25262,1532,3046
84,Brazil,2020-04-15,28320,1736,14026
85,Brazil,2020-04-16,30425,1924,14026
86,Brazil,2020-04-17,33682,2141,14026
87,Brazil,2020-04-18,36658,2354,14026
88,Brazil,2020-04-19,38654,2462,22130
89,Brazil,2020-04-20,40743,2587,22130
90,Brazil,2020-04-21,43079,2741,22991
91,Brazil,2020-04-22,45757,2906,25318
92,Brazil,2020-04-23,50036,3331,26573
93,Brazil,2020-04-24,54043,3704,27655
94,Brazil,2020-04-25,59324,4057,29160
95,Brazil,2020-04-26,63100,4286,30152
96,Brazil,2020-04-27,67446,4603,31142
97,Brazil,2020-04-28,73235,5083,32544
98,Brazil,2020-04-29,79685,5513,34132
99,Brazil,2020-04-30,87187,6006,35935
100,Brazil,2020-05-01,92202,6412,38039
101,Brazil,2020-05-02,97100,6761,40937
102,Brazil,2020-05-03,101826,7051,42991
103,Brazil,2020-05-04,108620,7367,45815
104,Brazil,2020-05-05,115455,7938,48221
105,Brazil,2020-05-06,126611,8588,51370
106,Brazil,2020-05-07,135773,9190,55350
107,Brazil,2020-05-08,146894,10017,59297
108,Brazil,2020-05-09,156061,10656,61685
109,Brazil,2020-05-10,162699,11123,64957
110,Brazil,2020-05-11,169594,11653,67384
111,Brazil,2020-05-12,178214,12461,72597
112,Brazil,2020-05-13,190137,13240,78424
113,Brazil,2020-05-14,203165,13999,79479
114,Brazil,2020-05-15,220291,14962,84970
115,Brazil,2020-05-16,233511,15662,89672
116,Brazil,2020-05-17,241080,16118,94122
117,Brazil,2020-05-18,255368,16853,100459
118,Brazil,2020-05-19,271885,17983,106794
119,Brazil,2020-05-20,291579,18859,116683
120,Brazil,2020-05-21,310087,20047,125960
121,Brazil,2020-05-22,330890,21048,135430
122,Brazil,2020-05-23,347398,22013,142587
123,Brazil,2020-05-24,363211,22666,149911
124,Brazil,2020-05-25,374898,23473,153833
125,Brazil,2020-05-26,391222,24512,158593
126,Brazil,2020-05-27,411821,25598,166647
127,Brazil,2020-05-28,438238,26754,177604
