,Country_Region,Date,ConfirmedCases,Deaths,Recovered
0,China,2020-01-22,548,17,28
1,China,2020-01-23,643,18,30
2,China,2020-01-24,920,26,36
3,China,2020-01-25,1406,42,39
4,China,2020-01-26,2075,56,49
5,China,2020-01-27,2877,82,58
6,China,2020-01-28,5509,131,101
7,China,2020-01-29,6087,133,120
8,China,2020-01-30,8141,171,135
9,China,2020-01-31,9802,213,214
10,China,2020-02-01,11891,259,275
11,China,2020-02-02,16630,361,463
12,China,2020-02-03,19716,425,614
13,China,2020-02-04,23707,491,843
14,China,2020-02-05,27440,563,1115
15,China,2020-02-06,30587,633,1477
16,China,2020-02-07,34110,718,1999
17,China,2020-02-08,36814,805,2596
18,China,2020-02-09,39829,905,3219
19,China,2020-02-10,42354,1012,3918
20,China,2020-02-11,44386,1112,4636
21,China,2020-02-12,44759,1117,5082
22,China,2020-02-13,59895,1369,6217
23,China,2020-02-14,66358,1521,7977
24,China,2020-02-15,68413,1663,9298
25,China,2020-02-16,70513,1766,10755
26,China,2020-02-17,72434,1864,12462
27,China,2020-02-18,74211,2003,14206
28,China,2020-02-19,74619,2116,15962
29,China,2020-02-20,75077,2238,18014
30,China,2020-02-21,75550,2238,18704
31,China,2020-02-22,77001,2443,22699
32,China,2020-02-23,77022,2445,23187
33,China,2020-02-24,77241,2595,25015
34,China,2020-02-25,77754,2665,27676
35,China,2020-02-26,78166,2717,30084
36,China,2020-02-27,78600,2746,32930
37,China,2020-02-28,78928,2790,36329
38,China,2020-02-29,79356,2837,39320
39,China,2020-03-01,79932,2872,42162
40,China,2020-03-02,80136,2914,44854
41,China,2020-03-03,80261,2947,47450
42,China,2020-03-04,80386,2983,50001
43,China,2020-03-05,80537,3015,52292
44,China,2020-03-06,80690,3044,53944
45,China,2020-03-07,80770,3072,55539
46,China,2020-03-08,80823,3100,57388
47,China,2020-03-09,80860,3123,58804
48,China,2020-03-10,80887,3139,60181
49,China,2020-03-11,80921,3161,61644
50,China,2020-03-12,80932,3172,62901
51,China,2020-03-13,80945,3180,64196
52,China,2020-03-14,80977,3193,65660
53,China,2020-03-15,81003,3203,67017
54,China,2020-03-16,81033,3217,67910
55,China,2020-03-17,81058,3230,68798
56,China,2020-03-18,81102,3241,69755
57,China,2020-03-19,81156,3249,70535
58,China,2020-03-20,81250,3253,71266
59,China,2020-03-21,81305,3259,71857
60,China,2020-03-22,81435,3274,72362
61,China,2020-03-23,81498,3274,72814
62,China,2020-03-24,81591,3281,73280
63,China,2020-03-25,81661,3285,73773
64,China,2020-03-26,81782,3291,74181
65,China,2020-03-27,81897,3296,74720
66,China,2020-03-28,81999,3299,75100
67,China,2020-03-29,82122,3304,75582
68,China,2020-03-30,82198,3308,75923
69,China,2020-03-31,82279,3309,76206
70,China,2020-04-01,82361,3316,76405
71,China,2020-04-02,82432,3322,76565
72,China,2020-04-03,82511,3326,76760
73,China,2020-04-04,82543,3330,76946
74,China,2020-04-05,82602,3333,77207
75,China,2020-04-06,82665,3335,77310
76,China,2020-04-07,82718,3335,77410
77,China,2020-04-08,82809,3337,77567
78,China,2020-04-09,82883,3339,77679
79,China,2020-04-10,82941,3340,77791
80,China,2020-04-11,83014,3343,77877
81,China,2020-04-12,83134,3343,77956
82,China,2020-04-13,83213,3345,78039
