,Country_Region,Date,ConfirmedCases,Deaths,Recovered
0,India,2020-01-22,0,0,0
1,India,2020-01-23,0,0,0
2,India,2020-01-24,0,0,0
3,India,2020-01-25,0,0,0
4,India,2020-01-26,0,0,0
5,India,2020-01-27,0,0,0
6,India,2020-01-28,0,0,0
7,India,2020-01-29,0,0,0
8,India,2020-01-30,1,0,0
9,India,2020-01-31,1,0,0
10,India,2020-02-01,1,0,0
11,India,2020-02-02,2,0,0
12,India,2020-02-03,3,0,0
13,India,2020-02-04,3,0,0
14,India,2020-02-05,3,0,0
15,India,2020-02-06,3,0,0
16,India,2020-02-07,3,0,0
17,India,2020-02-08,3,0,0
18,India,2020-02-09,3,0,0
19,India,2020-02-10,3,0,0
20,India,2020-02-11,3,0,0
21,India,2020-02-12,3,0,0
22,India,2020-02-13,3,0,0
23,India,2020-02-14,3,0,0
24,India,2020-02-15,3,0,0
25,India,2020-02-16,3,0,3
26,India,2020-02-17,3,0,3
27,India,2020-02-18,3,0,3
28,India,2020-02-19,3,0,3
29,India,2020-02-20,3,0,3
30,India,2020-02-21,3,0,3
31,India,2020-02-22,3,0,3
32,India,2020-02-23,3,0,3
33,India,2020-02-24,3,0,3
34,India,2020-02-25,3,0,3
35,India,2020-02-26,3,0,3
36,India,2020-02-27,3,0,3
37,India,2020-02-28,3,0,3
38,India,2020-02-29,3,0,3
39,India,2020-03-01,3,0,3
40,India,2020-03-02,5,0,3
41,India,2020-03-03,5,0,3
42,India,2020-03-04,28,0,3
43,India,2020-03-05,30,0,3
44,India,2020-03-06,31,0,3
45,India,2020-03-07,34,0,3
46,India,2020-03-08,39,0,3
47,India,2020-03-09,43,0,3
48,India,2020-03-10,56,0,4
49,India,2020-03-11,62,1,4
50,India,2020-03-12,73,1,4
51,India,2020-03-13,82,2,4
52,India,2020-03-14,102,2,4
53,India,2020-03-15,113,2,13
54,India,2020-03-16,119,2,13
55,India,2020-03-17,142,3,14
56,India,2020-03-18,156,3,14
57,India,2020-03-19,194,4,15
58,India,2020-03-20,244,5,20
59,India,2020-03-21,330,4,23
60,India,2020-03-22,396,7,27
61,India,2020-03-23,499,10,27
62,India,2020-03-24,536,10,40
63,India,2020-03-25,657,12,43
64,India,2020-03-26,727,20,45
65,India,2020-03-27,887,20,73
66,India,2020-03-28,987,24,84
67,India,2020-03-29,1024,27,95
68,India,2020-03-30,1251,32,102
69,India,2020-03-31,1397,35,123
70,India,2020-04-01,1998,58,148
71,India,2020-04-02,2543,72,191
72,India,2020-04-03,2567,72,192
73,India,2020-04-04,3082,86,229
74,India,2020-04-05,3588,99,229
75,India,2020-04-06,4778,136,375
76,India,2020-04-07,5311,150,421
77,India,2020-04-08,5916,178,506
78,India,2020-04-09,6725,226,620
79,India,2020-04-10,7598,246,774
80,India,2020-04-11,8446,288,969
81,India,2020-04-12,9205,331,1080
82,India,2020-04-13,10453,358,1181
83,India,2020-04-14,11487,393,1359
84,India,2020-04-15,12322,405,1432
85,India,2020-04-16,13430,448,1768
86,India,2020-04-17,14352,486,2041
87,India,2020-04-18,15722,521,2463
88,India,2020-04-19,17615,559,2854
89,India,2020-04-20,18539,592,3273
90,India,2020-04-21,20080,645,3975
91,India,2020-04-22,21370,681,4370
92,India,2020-04-23,23077,721,5012
93,India,2020-04-24,24530,780,5498
94,India,2020-04-25,26283,825,5939
95,India,2020-04-26,27890,881,6523
96,India,2020-04-27,29451,939,7137
97,India,2020-04-28,31324,1008,7747
98,India,2020-04-29,33062,1079,8437
99,India,2020-04-30,34863,1154,9068
100,India,2020-05-01,37257,1223,10007
101,India,2020-05-02,39699,1323,10819
102,India,2020-05-03,42505,1391,11775
103,India,2020-05-04,46437,1566,12847
104,India,2020-05-05,49400,1693,14142
105,India,2020-05-06,52987,1785,15331
106,India,2020-05-07,56351,1889,16776
107,India,2020-05-08,59695,1985,17887
108,India,2020-05-09,62808,2101,19301
109,India,2020-05-10,67161,2212,20969
110,India,2020-05-11,70768,2294,22549
111,India,2020-05-12,74292,2415,24420
112,India,2020-05-13,78055,2551,26400
113,India,2020-05-14,81997,2649,27969
114,India,2020-05-15,85784,2753,30258
115,India,2020-05-16,90648,2871,34224
116,India,2020-05-17,95698,3025,36795
117,India,2020-05-18,100328,3156,39233
118,India,2020-05-19,106475,3302,42309
119,India,2020-05-20,112028,3434,45422
120,India,2020-05-21,118226,3584,48553
121,India,2020-05-22,124794,3726,51824
122,India,2020-05-23,131423,3868,54385
123,India,2020-05-24,138536,4024,57692
124,India,2020-05-25,144950,4172,60706
125,India,2020-05-26,150793,4344,64277
126,India,2020-05-27,158086,4534,67749
127,India,2020-05-28,165386,4711,70920
128,India,2020-05-29,173491,4980,82627
129,India,2020-05-30,181827,5185,86936
130,India,2020-05-31,190609,5408,91852
131,India,2020-06-01,198370,5608,95754
132,India,2020-06-02,207191,5829,100285
133,India,2020-06-03,216824,6088,104071
134,India,2020-06-04,226713,6363,108450
135,India,2020-06-05,236184,6649,113233
136,India,2020-06-06,246622,6946,118695
137,India,2020-06-07,257486,7207,123848
138,India,2020-06-08,265928,7473,129095
139,India,2020-06-09,276146,7750,134670
140,India,2020-06-10,286605,8102,135206
141,India,2020-06-11,297535,8498,147195
142,India,2020-06-12,308993,8884,154330
143,India,2020-06-13,320922,9195,162379
144,India,2020-06-14,332424,9520,169798
145,India,2020-06-15,343091,9900,180013
146,India,2020-06-16,354065,11903,186935
147,India,2020-06-17,366946,12237,194325
148,India,2020-06-18,380532,12573,204711
149,India,2020-06-19,395048,12948,213831
150,India,2020-06-20,410451,13254,227728
151,India,2020-06-21,425282,13699,237196
152,India,2020-06-22,440215,14011,248190
153,India,2020-06-23,456183,14476,258685
154,India,2020-06-24,473105,14894,271697
155,India,2020-06-25,490401,15301,285637
156,India,2020-06-26,508953,15685,295881
157,India,2020-06-27,528859,16095,309713
158,India,2020-06-28,548318,16475,321723
159,India,2020-06-29,566840,16893,334822
160,India,2020-06-30,585481,17400,347912
161,India,2020-07-01,604641,17834,359860
162,India,2020-07-02,625544,18213,379892
163,India,2020-07-03,648315,18655,394227
164,India,2020-07-04,673165,19268,409083
165,India,2020-07-05,697413,19693,424433
166,India,2020-07-06,719664,20159,439934
167,India,2020-07-07,742417,20642,456831
168,India,2020-07-08,767296,21129,476378
169,India,2020-07-09,793802,21604,495513
170,India,2020-07-10,820916,22123,515386
171,India,2020-07-11,849522,22673,534618
172,India,2020-07-12,878254,23174,553471
173,India,2020-07-13,906752,23727,571460
174,India,2020-07-14,936181,24309,592032
175,India,2020-07-15,968857,24914,612768
176,India,2020-07-16,1003832,25602,635757
177,India,2020-07-17,1039084,26273,653751
178,India,2020-07-18,1077781,26816,677423
179,India,2020-07-19,1118206,27497,700087
180,India,2020-07-20,1155338,28082,724578
181,India,2020-07-21,1193078,28732,753050
182,India,2020-07-22,1238798,29861,782607
183,India,2020-07-23,1288108,30601,817209
184,India,2020-07-24,1337024,31358,849432
185,India,2020-07-25,1385635,32060,885573
186,India,2020-07-26,1435616,32771,917568
187,India,2020-07-27,1480073,33408,951166
188,India,2020-07-28,1531669,34193,988029
189,India,2020-07-29,1581963,34955,1019735
190,India,2020-07-30,1634746,35718,1055348
191,India,2020-07-31,1695988,36511,1094374
192,India,2020-08-01,1750723,37364,1145629
