,Country_Region,Date,ConfirmedCases,Deaths,Recovered
0,Japan,2020-01-22,2,0,0
1,Japan,2020-01-23,2,0,0
2,Japan,2020-01-24,2,0,0
3,Japan,2020-01-25,2,0,0
4,Japan,2020-01-26,4,0,1
5,Japan,2020-01-27,4,0,1
6,Japan,2020-01-28,7,0,1
7,Japan,2020-01-29,7,0,1
8,Japan,2020-01-30,11,0,1
9,Japan,2020-01-31,15,0,1
10,Japan,2020-02-01,20,0,1
11,Japan,2020-02-02,20,0,1
12,Japan,2020-02-03,20,0,1
13,Japan,2020-02-04,22,0,1
14,Japan,2020-02-05,23,0,1
15,Japan,2020-02-06,23,0,1
16,Japan,2020-02-07,23,0,1
17,Japan,2020-02-08,24,0,1
18,Japan,2020-02-09,24,0,1
19,Japan,2020-02-10,26,0,4
20,Japan,2020-02-11,27,0,9
21,Japan,2020-02-12,28,0,9
22,Japan,2020-02-13,33,1,9
23,Japan,2020-02-14,43,1,9
24,Japan,2020-02-15,54,1,12
25,Japan,2020-02-16,60,1,12
26,Japan,2020-02-17,67,1,12
27,Japan,2020-02-18,79,2,13
28,Japan,2020-02-19,85,2,18
29,Japan,2020-02-20,95,2,18
30,Japan,2020-02-21,112,2,22
31,Japan,2020-02-22,137,2,22
32,Japan,2020-02-23,149,2,22
33,Japan,2020-02-24,160,2,22
34,Japan,2020-02-25,173,3,22
35,Japan,2020-02-26,192,3,22
36,Japan,2020-02-27,218,4,22
37,Japan,2020-02-28,236,5,22
38,Japan,2020-02-29,245,6,32
39,Japan,2020-03-01,259,6,32
40,Japan,2020-03-02,278,6,32
41,Japan,2020-03-03,298,6,43
42,Japan,2020-03-04,333,7,43
43,Japan,2020-03-05,365,7,43
44,Japan,2020-03-06,420,7,46
45,Japan,2020-03-07,466,7,76
46,Japan,2020-03-08,499,8,76
47,Japan,2020-03-09,527,10,76
48,Japan,2020-03-10,585,13,101
49,Japan,2020-03-11,640,15,118
50,Japan,2020-03-12,696,19,118
51,Japan,2020-03-13,733,21,118
52,Japan,2020-03-14,795,22,118
53,Japan,2020-03-15,826,24,118
54,Japan,2020-03-16,843,30,144
55,Japan,2020-03-17,893,30,144
56,Japan,2020-03-18,928,32,144
57,Japan,2020-03-19,968,33,150
58,Japan,2020-03-20,1022,34,191
59,Japan,2020-03-21,1059,36,232
60,Japan,2020-03-22,1104,40,235
61,Japan,2020-03-23,1144,41,235
62,Japan,2020-03-24,1217,42,285
63,Japan,2020-03-25,1314,45,310
64,Japan,2020-03-26,1416,47,359
65,Japan,2020-03-27,1530,53,372
66,Japan,2020-03-28,1728,56,404
67,Japan,2020-03-29,1907,63,424
68,Japan,2020-03-30,2001,65,424
69,Japan,2020-03-31,2255,67,424
70,Japan,2020-04-01,2535,72,472
71,Japan,2020-04-02,2818,75,472
72,Japan,2020-04-03,3154,81,514
73,Japan,2020-04-04,3525,87,514
74,Japan,2020-04-05,3876,93,514
75,Japan,2020-04-06,4110,96,575
