Date_reported,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,5,0,5,0
2020-02-27,0,0,5,0
2020-02-28,0,0,5,0
2020-02-29,0,0,5,0
2020-03-01,1,0,6,0
2020-03-02,0,0,6,0
2020-03-03,0,0,6,0
2020-03-04,1,0,7,0
2020-03-05,4,0,11,0
2020-03-06,1,0,12,0
2020-03-07,5,0,17,0
2020-03-08,6,0,23,0
2020-03-09,6,0,29,0
2020-03-10,0,0,29,0
2020-03-11,9,0,38,0
2020-03-12,18,0,56,0
2020-03-13,25,0,81,0
2020-03-14,44,0,125,0
2020-03-15,0,0,125,0
2020-03-16,79,0,204,0
2020-03-17,34,0,238,0
2020-03-18,57,1,295,1
2020-03-19,133,3,428,4
2020-03-20,193,0,621,4
2020-03-21,283,7,904,11
2020-03-22,0,0,904,11
2020-03-23,0,0,904,11
2020-03-24,642,14,1546,25
2020-03-25,655,21,2201,46
2020-03-26,232,11,2433,57
2020-03-27,0,0,2433,57
2020-03-28,482,20,2915,77
2020-03-29,502,15,3417,92
2020-03-30,487,22,3904,114
2020-03-31,352,22,4256,136
2020-04-01,323,23,4579,159
2020-04-02,1138,42,5717,201
2020-04-03,1119,40,6836,241
2020-04-04,1074,58,7910,299
2020-04-05,1146,60,9056,359
2020-04-06,1222,73,10278,432
2020-04-07,852,54,11130,486
2020-04-08,926,67,12056,553
2020-04-09,1661,114,13717,667
2020-04-10,2210,133,15927,800
2020-04-11,1930,141,17857,941
2020-04-12,1781,115,19638,1056
2020-04-13,1089,68,20727,1124
2020-04-14,1442,99,22169,1223
2020-04-15,1261,105,23430,1328
2020-04-16,1832,204,25262,1532
2020-04-17,3058,204,28320,1736
2020-04-18,2105,188,30425,1924
2020-04-19,3257,217,33682,2141
2020-04-20,2917,206,36599,2347
2020-04-21,2055,115,38654,2462
2020-04-22,1927,113,40581,2575
2020-04-23,2498,166,43079,2741
2020-04-24,2678,165,45757,2906
2020-04-25,3735,407,49492,3313
2020-04-26,3503,357,52995,3670
2020-04-27,5514,346,58509,4016
2020-04-28,3379,189,61888,4205
2020-04-29,4613,338,66501,4543
2020-04-30,5385,474,71886,5017
2020-05-01,6276,449,78162,5466
2020-05-02,7218,435,85380,5901
2020-05-03,6209,428,91589,6329
2020-05-04,4970,421,96559,6750
2020-05-05,4588,275,101147,7025
2020-05-06,6633,296,107780,7321
2020-05-07,6935,600,114715,7921
2020-05-08,10503,615,125218,8536
2020-05-09,9888,610,135106,9146
2020-05-10,10222,751,145328,9897
2020-05-11,10611,730,155939,10627
2020-05-12,6760,496,162699,11123
2020-05-13,5632,396,168331,11519
2020-05-14,9258,881,177589,12400
2020-05-15,11385,749,188974,13149
2020-05-16,13944,844,202918,13993
2020-05-17,15305,824,218223,14817
2020-05-18,14919,816,233142,15633
2020-05-19,7938,485,241080,16118
2020-05-20,13140,674,254220,16792
2020-05-21,17408,1179,271628,17971
2020-05-22,19951,888,291579,18859
2020-05-23,18508,1188,310087,20047
2020-05-24,20803,1001,330890,21048
2020-05-25,16508,965,347398,22013
2020-05-26,15813,653,363211,22666
2020-05-27,11687,807,374898,23473
