Date_reported,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,1,0,1,0
2020-01-05,0,0,1,0
2020-01-06,3,0,4,0
2020-01-07,0,0,4,0
2020-01-08,0,0,4,0
2020-01-09,0,0,4,0
2020-01-10,0,0,4,0
2020-01-11,0,0,4,0
2020-01-12,41,1,45,1
2020-01-13,0,0,45,1
2020-01-14,0,0,45,1
2020-01-15,0,0,45,1
2020-01-16,0,0,45,1
2020-01-17,4,1,49,2
2020-01-18,0,0,49,2
2020-01-19,76,1,125,3
2020-01-20,77,1,202,4
2020-01-21,93,2,295,6
2020-01-22,147,11,442,17
2020-01-23,132,1,574,18
2020-01-24,261,8,835,26
2020-01-25,462,16,1297,42
2020-01-26,688,14,1985,56
2020-01-27,776,26,2761,82
2020-01-28,1772,49,4533,131
2020-01-29,1464,2,5997,133
2020-01-30,1739,38,7736,171
2020-01-31,1984,42,9720,213
2020-02-01,2101,46,11821,259
2020-02-02,2590,102,14411,361
2020-02-03,2827,64,17238,425
2020-02-04,3233,66,20471,491
2020-02-05,3892,72,24363,563
2020-02-06,3697,70,28060,633
2020-02-07,3151,85,31211,718
2020-02-08,3387,87,34598,805
2020-02-09,2653,100,37251,905
2020-02-10,2984,107,40235,1012
2020-02-11,2473,100,42708,1112
2020-02-12,2022,5,44730,1117
2020-02-13,15152,252,59882,1369
2020-02-14,4050,152,63932,1521
2020-02-15,2644,142,66576,1663
2020-02-16,2008,104,68584,1767
2020-02-17,2051,98,70635,1865
2020-02-18,1893,139,72528,2004
2020-02-19,1750,113,74278,2117
2020-02-20,397,122,74675,2239
2020-02-21,893,0,75568,2239
2020-02-22,825,205,76393,2444
2020-02-23,649,2,77042,2446
2020-02-24,220,150,77262,2596
2020-02-25,517,70,77779,2666
2020-02-26,411,52,78190,2718
2020-02-27,440,29,78630,2747
2020-02-28,329,44,78959,2791
2020-02-29,430,47,79389,2838
2020-03-01,579,35,79968,2873
2020-03-02,206,42,80174,2915
2020-03-03,128,33,80302,2948
2020-03-04,120,36,80422,2984
