Date_reported,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,1,0,1,0
2020-01-15,0,0,1,0
2020-01-16,0,0,1,0
2020-01-17,0,0,1,0
2020-01-18,0,0,1,0
2020-01-19,0,0,1,0
2020-01-20,0,0,1,0
2020-01-21,0,0,1,0
2020-01-22,0,0,1,0
2020-01-23,0,0,1,0
2020-01-24,0,0,1,0
2020-01-25,1,0,2,0
2020-01-26,1,0,3,0
2020-01-27,1,0,4,0
2020-01-28,0,0,4,0
2020-01-29,3,0,7,0
2020-01-30,1,0,8,0
2020-01-31,4,0,12,0
2020-02-01,1,0,13,0
2020-02-02,2,0,15,0
2020-02-03,5,0,20,0
2020-02-04,0,0,20,0
2020-02-05,3,0,23,0
2020-02-06,2,0,25,0
2020-02-07,0,0,25,0
2020-02-08,0,0,25,0
2020-02-09,0,0,25,0
2020-02-10,0,0,25,0
2020-02-11,1,0,26,0
2020-02-12,2,0,28,0
2020-02-13,0,1,28,1
2020-02-14,5,0,33,1
2020-02-15,7,0,40,1
2020-02-16,12,0,52,1
2020-02-17,6,0,58,1
2020-02-18,7,0,65,1
2020-02-19,8,0,73,1
2020-02-20,1,0,74,1
2020-02-21,19,0,93,1
2020-02-22,12,0,105,1
2020-02-23,27,0,132,1
2020-02-24,12,0,144,1
2020-02-25,12,0,156,1
2020-02-26,8,1,164,2
2020-02-27,22,2,186,4
2020-02-28,24,0,210,4
2020-02-29,20,1,230,5
2020-03-01,9,1,239,6
2020-03-02,15,0,254,6
2020-03-03,14,0,268,6
2020-03-04,16,0,284,6
2020-03-05,33,0,317,6
2020-03-06,32,0,349,6
2020-03-07,59,0,408,6
2020-03-08,47,0,455,6
2020-03-09,34,4,489,10
2020-03-10,25,0,514,10
2020-03-11,54,5,568,15
2020-03-12,51,1,619,16
2020-03-13,56,3,675,19
2020-03-14,41,3,716,22
2020-03-15,64,0,780,22
2020-03-16,34,5,814,27
2020-03-17,15,2,829,29
2020-03-18,44,0,873,29
2020-03-19,41,0,914,29
2020-03-20,36,4,950,33
2020-03-21,46,2,996,35
2020-03-22,50,5,1046,40
2020-03-23,43,0,1089,40
2020-03-24,39,2,1128,42
2020-03-25,65,1,1193,43
2020-03-26,98,2,1291,45
2020-03-27,96,1,1387,46
2020-03-28,112,3,1499,49
2020-03-29,194,3,1693,52
2020-03-30,173,2,1866,54
2020-03-31,87,2,1953,56
2020-04-01,225,1,2178,57
2020-04-02,378,3,2556,60
2020-04-03,61,3,2617,63
2020-04-04,318,6,2935,69
2020-04-05,336,1,3271,70
2020-04-06,383,3,3654,73
2020-04-07,252,7,3906,80
2020-04-08,351,1,4257,81
2020-04-09,511,4,4768,85
2020-04-10,579,3,5347,88
2020-04-11,658,6,6005,94
2020-04-12,743,4,6748,98
2020-04-13,507,4,7255,102
2020-04-14,390,7,7645,109
2020-04-15,455,10,8100,119
2020-04-16,482,17,8582,136
2020-04-17,585,12,9167,148
2020-04-18,628,6,9795,154
2020-04-19,566,7,10361,161
2020-04-20,390,10,10751,171
2020-04-21,368,15,11119,186
2020-04-22,377,91,11496,277
2020-04-23,423,10,11919,287
2020-04-24,469,30,12388,317
2020-04-25,441,17,12829,334
2020-04-26,353,14,13182,348
2020-04-27,203,3,13385,351
2020-04-28,191,25,13576,376
2020-04-29,276,13,13852,389
2020-04-30,236,26,14088,415
2020-05-01,193,17,14281,432
2020-05-02,264,26,14545,458
2020-05-03,294,34,14839,492
2020-05-04,218,18,15057,510
2020-05-05,174,11,15231,521
2020-05-06,123,22,15354,543
2020-05-07,109,8,15463,551
2020-05-08,84,6,15547,557
2020-05-09,81,44,15628,601
2020-05-10,119,12,15747,613
2020-05-11,51,8,15798,621
2020-05-12,76,22,15874,643
2020-05-13,150,25,16024,668
2020-05-14,55,19,16079,687
2020-05-15,114,23,16193,710
2020-05-16,44,15,16237,725
2020-05-17,48,19,16285,744
2020-05-18,20,5,16305,749
2020-05-19,60,14,16365,763
2020-05-20,20,8,16385,771
2020-05-21,39,6,16424,777
2020-05-22,89,19,16513,796
2020-05-23,23,12,16536,808
2020-05-24,14,12,16550,820
2020-05-25,31,10,16581,830
2020-05-26,42,16,16623,846
2020-05-27,28,12,16651,858
2020-05-28,32,9,16683,867
2020-05-29,36,7,16719,874
2020-05-30,85,12,16804,886
2020-05-31,47,5,16851,891
2020-06-01,33,1,16884,892
2020-06-02,46,2,16930,894
