Date_reported,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,5,0,5,0
2020-01-21,0,0,5,0
2020-01-22,0,0,5,0
2020-01-23,0,0,5,0
2020-01-24,31,0,36,0
2020-01-25,1,0,37,0
2020-01-26,1,0,38,0
2020-01-27,3,0,41,0
2020-01-28,3,0,44,0
2020-01-29,1,0,45,0
2020-01-30,1,0,46,0
2020-01-31,1,0,47,0
2020-02-01,2,0,49,0
2020-02-02,4,0,53,0
2020-02-03,3,0,56,0
2020-02-04,1,0,57,0
2020-02-05,7,0,64,0
2020-02-06,1,0,65,0
2020-02-07,1,0,66,0
2020-02-08,0,0,66,0
2020-02-09,1,0,67,0
2020-02-10,1,0,68,0
2020-02-11,2,0,70,0
2020-02-12,1,0,71,0
2020-02-13,2,0,73,0
2020-02-14,1,0,74,0
2020-02-15,2,0,76,0
2020-02-16,3,0,79,0
2020-02-17,2,0,81,0
2020-02-18,0,0,81,0
2020-02-19,6,0,87,0
2020-02-20,0,0,87,0
2020-02-21,1,0,88,0
2020-02-22,2,0,90,0
2020-02-23,9,0,99,0
2020-02-24,2,0,101,0
2020-02-25,1,0,102,0
2020-02-26,4,0,106,0
2020-02-27,5,0,111,0
2020-02-28,4,0,115,0
2020-02-29,11,1,126,1
2020-03-01,8,0,134,1
2020-03-02,19,1,153,2
2020-03-03,24,0,177,2
2020-03-04,41,5,218,7
2020-03-05,38,3,256,10
2020-03-06,44,1,300,11
2020-03-07,81,2,381,13
2020-03-08,78,2,459,15
2020-03-09,98,5,557,20
2020-03-10,191,4,748,24
2020-03-11,301,7,1049,31
2020-03-12,374,5,1423,36
2020-03-13,368,12,1791,48
2020-03-14,532,7,2323,55
2020-03-15,443,8,2766,63
2020-03-16,536,12,3302,75
2020-03-17,1381,23,4683,98
2020-03-18,1055,18,5738,116
2020-03-19,3108,31,8846,147
2020-03-20,3765,67,12611,214
2020-03-21,5045,57,17656,271
2020-03-22,3743,70,21399,341
2020-03-23,6037,83,27436,424
2020-03-24,9032,81,36468,505
2020-03-25,11224,151,47692,656
2020-03-26,10786,206,58478,862
2020-03-27,14073,275,72551,1137
2020-03-28,17135,267,89686,1404
2020-03-29,18547,450,108233,1854
2020-03-30,19444,459,127677,2313
2020-03-31,18136,331,145813,2644
2020-04-01,22395,511,168208,3155
2020-04-02,22834,752,191042,3907
2020-04-03,27357,912,218399,4819
2020-04-04,25982,970,244381,5789
2020-04-05,35131,1067,279512,6856
2020-04-06,30593,1157,310105,8013
2020-04-07,25511,1364,335616,9377
2020-04-08,42604,3243,378220,12620
2020-04-09,21975,674,400195,13294
2020-04-10,31714,1958,431909,15252
2020-04-11,31215,2343,463124,17595
2020-04-12,34595,1640,497719,19235
2020-04-13,32364,1971,530083,21206
2020-04-14,27973,1380,558056,22586
2020-04-15,24540,597,582596,23183
2020-04-16,25794,2356,608390,25539
2020-04-17,27172,6508,635562,32047
2020-04-18,29015,2011,664577,34058
2020-04-19,29978,2451,694555,36509
2020-04-20,29759,1794,724314,38303
2020-04-21,24371,1878,748685,40181
2020-04-22,29479,2807,778164,42988
2020-04-23,26339,2820,804503,45808
2020-04-24,26644,1771,831147,47579
2020-04-25,37063,2489,868210,50068
2020-04-26,30408,1652,898618,51720
2020-04-27,33630,2017,932248,53737
2020-04-28,27787,1460,960035,55197
2020-04-29,24270,1423,984305,56620
2020-04-30,24095,2253,1008400,58873
2020-05-01,26299,2474,1034699,61347
2020-05-02,31184,2264,1065883,63611
2020-05-03,30169,1939,1096052,65550
2020-05-04,28743,1494,1124795,67044
2020-05-05,29161,1728,1153956,68772
2020-05-06,19069,976,1173025,69748
2020-05-07,22690,2455,1195715,72203
2020-05-08,23593,2310,1219308,74513
2020-05-09,30297,2277,1249605,76790
2020-05-10,25214,1620,1274819,78410
2020-05-11,26914,1626,1301733,80036
2020-05-12,23871,980,1325604,81016
2020-05-13,18080,1076,1343684,82092
2020-05-14,22025,1526,1365709,83618
2020-05-15,20953,1644,1386662,85262
2020-05-16,26972,1794,1413634,87056
2020-05-17,22855,1483,1436489,88539
2020-05-18,32243,1399,1468732,89938
2020-05-19,13346,696,1482078,90634
2020-05-20,24654,982,1506732,91616
2020-05-21,24261,1324,1530993,92940
